Rank,Sport Name,Amount of Fans,Regions
1,Football (Soccer),3.5 Billion,Europe - Africa - Asia - America
2,Cricket,2.5 Billion,Asia - Australia - UK
3,Hockey,2 Billion,Europe - Africa - Asia - Australia
4,Tennis,1 Billion,Europe - Asia - America
5,Volleyball,900 Million,Europe - Australia - Asia - America
6,Table Tennis,850 Million,Europe - Africa - Asia - America
7,Basketball,800 Million,America - Oceania - Middle East
8,Baseball,500 Million,America - Japan
9,Rugby,475 Million,Oceania - South Africa - England
10,Golf,450 Million,America - Oceania - Europe
