Happiness Rank,Country,Happiness Score,Health (Life Expectancy),Freedom
1,Switzerland,7.587,0.94143,0.66557
2,Iceland,7.561,0.94784,0.62877
3,Denmark,7.527,0.87464,0.64938
4,Norway,7.522,0.88521,0.66973
5,Canada,7.427,0.90563,0.63297
6,Finland,7.406,0.88911,0.64169
7,Netherlands,7.378,0.89284,0.61576
8,Sweden,7.364,0.91087,0.6598
9,New Zealand,7.286,0.90837,0.63938
10,Australia,7.284,0.93156,0.65124
11,Israel,7.278,0.91387,0.41319
12,Costa Rica,7.226,0.86027,0.63376
13,Austria,7.2,0.89042,0.62433
14,Mexico,7.187,0.81444,0.48181
15,United States,7.119,0.86179,0.54604
16,Brazil,6.983,0.69702,0.49049
17,Luxembourg,6.946,0.91894,0.61583
18,Ireland,6.94,0.89533,0.61777
19,Belgium,6.937,0.89667,0.5845
20,United Arab Emirates,6.901,0.80925,0.64157
21,United Kingdom,6.867,0.90943,0.59625
22,Oman,6.853,0.76276,0.63274
23,Venezuela,6.81,0.72052,0.42908
24,Singapore,6.798,1.02525,0.54252
25,Panama,6.786,0.79661,0.5421
26,Germany,6.75,0.89186,0.61477
27,Chile,6.67,0.85857,0.44132
28,Qatar,6.611,0.79733,0.6404
29,France,6.575,0.94579,0.55011
30,Argentina,6.574,0.78723,0.44974
31,Czech Republic,6.505,0.84483,0.46364
32,Uruguay,6.485,0.8116,0.60362
33,Colombia,6.477,0.69077,0.53466
34,Thailand,6.455,0.7385,0.55664
35,Saudi Arabia,6.411,0.72025,0.31048
36,Spain,6.329,0.95562,0.45951
37,Malta,6.302,0.88721,0.60365
38,Taiwan,6.298,0.8753,0.3974
39,Kuwait,6.295,0.72492,0.55499
40,Suriname,6.269,0.6082,0.59657
41,Trinidad and Tobago,6.168,0.61483,0.55884
42,El Salvador,6.13,0.67737,0.4035
43,Guatemala,6.123,0.64425,0.57733
44,Uzbekistan,6.003,0.59772,0.65821
45,Slovakia,5.995,0.78902,0.31751
46,Japan,5.987,0.99111,0.49615
