Rank,Country,Pollution Index,Exp Pollution Index
1,Cameroon,93.8,170
2,Myanmar,89.8,162.2
3,Lebanon,89.4,159.9
4,Nigeria,87.9,157.1
5,Ghana,87.9,157.4
6,Mongolia,87.7,160.3
7,Bangladesh,85.6,153.2
8,Afghanistan,84.9,151.5
9,Nepal,84,149.3
10,Vietnam,83.8,149.6
11,Egypt,82.8,147
12,Peru,82.7,147.2
13,North Macedonia,79.6,144.9
14,Cambodia,78.2,138
15,China,78.2,141.8
16,Monaco,77.7,139.1
17,Chile,77.1,138.3
18,Albania,77,135
19,Zimbabwe,76.6,136.2
20,Jordan,76.4,134.4
21,Venezuela,75.6,134.1
22,Thailand,75.5,132.9
23,Malta,75.4,132.2
24,Syria,75,131
25,Iran,74.8,137
26,Ethiopia,74.6,130.6
27,Kazakhstan,73.6,133.5
28,Guatemala,73.5,128.2
29,Azerbaijan,73.1,127.6
30,Pakistan,72.9,127.1
31,India,72.8,127
32,Bolivia,72.7,127.2
33,Philippines,72.5,127.2
34,Iraq,72.5,126.2
35,Dominican Republic,71.9,125.2
36,Bahrain,71.2,128.6
37,Tunisia,69.6,121.2
38,Morocco,69.6,120.9
39,Kenya,69.3,121.3
40,Georgia,68.4,122.8
41,Kuwait,68,120.1
42,Indonesia,67.4,116.4
43,Hong Kong (China),66.9,118.7
44,Trinidad And Tobago,66.5,114.9
45,Jamaica,66,114.8
46,Serbia,65,114.3
47,Turkey,64.7,111.9
48,Saudi Arabia,64.1,112.1
49,Taiwan,63.9,110.9
50,Tanzania,63.5,111.2
51,Bulgaria,63.3,114.1
52,Algeria,63.2,109.9
53,Colombia,62.8,110.7
54,Moldova,62.6,108.4
55,Ukraine,61.8,106.3
56,Armenia,61.7,112.2
57,Malaysia,61.4,104.7
58,South Korea,61.4,112.2
59,Bosnia And Herzegovina,60.5,106.9
60,Qatar,60.5,106.6
61,Russia,59.6,101.9
62,Romania,58.9,100.7
63,Sri Lanka,58.8,100.6
64,Ecuador,58.6,100.1
65,Mexico,58.1,98.4
66,Poland,57.5,101.4
67,Israel,57,100.8
68,Cyprus,56.4,95.2
69,South Africa,56.3,95.9
70,Panama,55.8,96.9
71,Mauritius,54.8,93.1
72,Italy,54,91.4
73,Brazil,52.6,89.4
74,Greece,52,90.7
75,Argentina,51.1,87.2
76,Belgium,49.7,83.8
77,United Arab Emirates,49,82.9
78,Puerto Rico,48.7,83.3
79,Hungary,48,83.1
80,Montenegro,46,77.5
81,Belarus,44.9,74.6
82,Costa Rica,43.8,74.7
83,Uruguay,43.4,77.1
84,France,43.4,72.4
85,United Kingdom,40.5,67
86,Japan,38.6,62.3
87,Oman,38.4,61.7
88,Slovakia,37.2,62.4
89,United States,37.1,61.3
90,Spain,35.6,57.4
91,Czech Republic,34.8,57.6
92,Ireland,34.2,56.7
93,Singapore,33.3,56.4
94,Croatia,31.3,51.3
95,Latvia,30.8,49.6
96,Canada,30.2,49.3
97,Australia,29.4,47.3
98,Germany,29.2,47.1
99,Portugal,28.7,45.9
100,New Zealand,28.1,47.5
101,Lithuania,26.9,43.4
102,Slovenia,22.4,38.9
103,Switzerland,22.2,35.7
104,Denmark,21.9,34
105,Austria,21.8,35
106,Luxembourg,21.8,32.8
107,Netherlands,21.8,34.6
108,Norway,18.6,29.9
109,Sweden,17.7,27.5
110,Estonia,16.7,27
111,Iceland,15.8,27.1
112,Finland,12,19.9
